Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
-0.076416,0.138916,0.925781,-1.099237,-3.145038,-6.610687,1,1445405708.620028
-0.080322,0.139404,0.930176,-1.251908,2.946565,-0.427481,1,1445405708.704998
-0.081787,0.141602,0.926025,1.603053,5.450382,0.167939,1,1445405708.735166
-0.079346,0.139404,0.920898,-1.038168,0.335878,1.022901,1,1445405708.765213
-0.077393,0.137939,0.918701,-1.725191,5.755725,0.442748,1,1445405708.795026
-0.078125,0.139404,0.925537,4.564886,-7.664122,-0.503817,1,1445405708.825266
-0.076660,0.138184,0.935547,-0.748092,-1.343511,0.549618,1,1445405708.855136
-0.077637,0.138428,0.926514,-4.702290,-7.374046,31.007633,1,1445405708.885226
-0.075684,0.140869,0.923340,-3.328244,0.229008,-6.534351,1,1445405708.915223
-0.075439,0.136230,0.927979,-1.267176,-1.450382,0.076336,1,1445405708.945084
-0.076660,0.137939,0.927734,1.175573,-3.175573,3.404580,1,1445405708.975291
-0.073975,0.142090,0.925049,-1.526718,2.656489,-8.763359,1,1445405709.005220
-0.081055,0.138672,0.927979,-0.839695,-1.587786,-6.229008,1,1445405709.035143
-0.074463,0.143066,0.927734,-2.320611,-3.419847,-1.160305,1,1445405709.065392
-0.081299,0.142090,0.922119,-2.732824,3.007634,-3.221374,1,1445405709.095054
-0.080078,0.141602,0.927246,-3.221374,5.358778,-0.977099,1,1445405709.125603
-0.078613,0.140625,0.924072,-2.076336,-6.977099,1.679389,1,1445405709.155160
-0.077881,0.140869,0.926270,-1.389313,0.030534,-2.931298,1,1445405709.185269
-0.074951,0.144531,0.924316,-1.267176,5.358778,-4.702290,1,1445405709.215225
-0.078857,0.141357,0.930420,-1.679389,-2.427481,-2.641221,1,1445405709.274928
-0.077393,0.138916,0.924072,-3.404580,10.335877,-4.167939,1,1445405709.279000
-0.077637,0.139404,0.932617,-1.755725,3.664122,-10.167939,1,1445405709.305259
-0.078857,0.140381,0.927490,-3.740458,-3.404580,-8.427481,1,1445405709.335301
-0.078857,0.137207,0.923584,-2.809160,-5.496183,-1.511450,1,1445405709.365225
-0.081055,0.140137,0.927002,-5.038168,3.160305,-7.221374,1,1445405709.395059
-0.078857,0.141113,0.927490,31.206106,2.473282,1.816794,1,1445405709.426136
-0.079102,0.141846,0.928711,1.251908,1.053435,-0.778626,1,1445405709.455206
-0.080811,0.140381,0.924805,-1.618321,6.656488,-2.320611,1,1445405709.515398
-0.081055,0.139893,0.926514,-0.870229,1.358779,4.488550,1,1445405709.545038
-0.081299,0.142578,0.933838,0.091603,0.870229,0.305344,1,1445405709.575311
-0.078857,0.137451,0.925293,-0.580153,6.335878,-0.687023,1,1445405709.605212
-0.079102,0.139893,0.929443,31.236641,2.519084,-3.312977,1,1445405709.635240
-0.079834,0.137695,0.923828,-2.167939,-0.183206,-5.053435,1,1445405709.665216
-0.079590,0.138184,0.927002,-2.885496,-6.030534,-1.465649,1,1445405709.695091
-0.078369,0.140869,0.933350,-3.129771,-0.503817,1.251908,1,1445405709.725277
-0.077881,0.138672,0.924072,-2.061069,-1.190840,-5.160306,1,1445405709.755214
-0.076904,0.142090,0.927246,-2.488550,1.694656,1.526718,1,1445405709.785203
-0.077393,0.138428,0.925781,-1.358779,5.389313,-0.717557,1,1445405709.815269
-0.079834,0.137939,0.925293,-0.015267,1.022901,-0.183206,1,1445405709.845189
-0.077393,0.139160,0.931396,-2.885496,1.053435,-8.931297,1,1445405709.875358
-0.081299,0.136963,0.921875,-3.312977,-2.809160,-4.396946,1,1445405709.905203
-0.078125,0.137939,0.929688,-4.366412,4.198473,-0.396947,1,1445405709.935223
-0.076172,0.137695,0.927490,1.465649,-5.984733,0.992366,1,1445405709.965357
-0.076660,0.135986,0.932617,31.236641,4.946565,1.603053,1,1445405710.025273
-0.082031,0.138184,0.933105,-2.946565,-4.000000,-1.053435,1,1445405710.055155
-0.080566,0.138916,0.921143,2.458015,3.786260,30.977098,1,1445405710.085207
-0.078125,0.140625,0.924561,-0.152672,5.022901,-2.305344,1,1445405710.115263
-0.078369,0.139893,0.927734,-3.129771,31.007633,-7.160306,1,1445405710.145217
-0.077148,0.140869,0.928223,-2.809160,-2.045802,-4.656488,1,1445405710.175505
-0.077148,0.139893,0.927246,30.977098,5.053435,0.702290,1,1445405710.205444
-0.079102,0.139160,0.921387,-2.122137,-0.687023,-2.748092,1,1445405710.235481
-0.077148,0.139160,0.926270,-5.541985,-1.404580,-1.984733,1,1445405710.265247
-0.077881,0.141602,0.926514,-2.381679,-2.793893,-1.541985,1,1445405710.295314
-0.079834,0.140625,0.922607,-2.091603,-2.732824,-7.480916,1,1445405710.326152
-0.078369,0.139893,0.925293,-1.267176,-1.832061,-6.839694,1,1445405710.355263
-0.079102,0.136475,0.928955,-3.007634,-0.335878,-4.412214,1,1445405710.385628
-0.080811,0.140137,0.920654,-1.832061,-0.992366,-3.007634,1,1445405710.415283
-0.077637,0.137939,0.930420,-4.610687,-8.778625,31.083969,1,1445405710.445200
-0.076904,0.135986,0.925049,-0.335878,3.572519,-9.297709,1,1445405710.475331
-0.080322,0.140381,0.928223,-2.961832,-0.717557,0.290076,1,1445405710.505276
-0.080811,0.139160,0.927246,-3.374046,-0.992366,-3.633588,1,1445405710.535307
-0.080811,0.134277,0.924316,1.740458,0.885496,-1.480916,1,1445405710.565225
-0.078125,0.139893,0.922607,-2.564885,-3.541985,-1.770992,1,1445405710.595391
-0.074463,0.137939,0.927734,-0.946565,-6.183206,-8.687023,1,1445405710.625339
-0.076660,0.140381,0.928223,-1.267176,1.618321,2.381679,1,1445405710.655298
-0.077637,0.138428,0.932617,-1.190840,2.244275,2.213740,1,1445405710.685231
-0.075195,0.141113,0.925293,-2.625954,-9.145039,0.320611,1,1445405710.715220
-0.075439,0.141602,0.920410,-3.312977,5.038168,3.786260,1,1445405710.745302
-0.074951,0.141846,0.927246,1.786260,-3.679389,-0.488550,1,1445405710.775353
-0.083252,0.136963,0.923096,-2.656489,-2.641221,3.129771,1,1445405710.805575
-0.072754,0.138428,0.927002,-3.572519,1.267176,1.694656,1,1445405710.835331
-0.081055,0.139404,0.920410,-4.061069,31.221375,-3.297710,1,1445405710.865258
-0.076172,0.142822,0.926758,-1.511450,-12.183207,-4.732824,1,1445405710.895202
-0.079346,0.141357,0.925049,-0.702290,-0.045802,-6.625954,1,1445405710.925360
-0.075684,0.137939,0.929932,-0.839695,3.725191,3.068702,1,1445405710.955252
-0.079346,0.137207,0.921631,0.885496,3.664122,-3.587786,1,1445405711.015532
-0.079102,0.141113,0.929688,-1.160305,-3.007634,2.656489,1,1445405711.075190
-0.081787,0.142578,0.925537,-1.038168,-2.961832,4.900764,1,1445405711.079509
-0.076416,0.139893,0.916748,-2.045802,-10.076336,4.076336,1,1445405711.105244
-0.080322,0.140625,0.930420,0.366412,0.244275,-2.748092,1,1445405711.135341
-0.072510,0.140137,0.930176,-3.083969,1.679389,-6.519084,1,1445405711.165285
-0.080811,0.138916,0.926758,-4.076336,-2.106870,-6.702290,1,1445405711.195217
-0.077148,0.140137,0.921143,-4.946565,-9.053435,-5.282443,1,1445405711.225395
-0.079834,0.135254,0.925781,-0.595420,-3.450382,-1.282443,1,1445405711.255273
-0.075928,0.139160,0.927246,1.435115,6.839694,2.885496,1,1445405711.285299
-0.078369,0.136719,0.930664,1.190840,1.129771,1.251908,1,1445405711.315298
-0.078857,0.142090,0.925049,0.091603,-4.473282,-0.122137,1,1445405711.345339
-0.074219,0.141113,0.916992,-0.015267,-4.900764,-2.137405,1,1445405711.375369
-0.079590,0.137451,0.925781,1.480916,4.427481,-0.946565,1,1445405711.434820
-0.077148,0.141846,0.922363,-1.694656,-2.732824,-7.893130,1,1445405711.439205
-0.076416,0.139893,0.920166,-2.656489,4.961832,-3.160305,1,1445405711.465344
-0.078125,0.141602,0.920410,-3.190840,2.946565,-3.633588,1,1445405711.525310
-0.081787,0.138428,0.930664,-0.015267,-3.648855,0.152672,1,1445405711.555329
-0.078857,0.140869,0.922852,-2.534351,-7.221374,-1.022901,1,1445405711.585562
-0.074951,0.141602,0.923828,1.541985,0.534351,-3.450382,1,1445405711.615310
-0.080322,0.140137,0.918457,-1.083969,7.938931,-4.015267,1,1445405711.645363
-0.074707,0.138916,0.926270,-4.748092,7.068702,-7.343512,1,1445405711.675463
-0.080078,0.138428,0.928223,-1.801527,3.709924,-4.656488,1,1445405711.734732
-0.077637,0.142822,0.931152,-0.931298,1.496183,1.480916,1,1445405711.739008
-0.078857,0.141846,0.926514,-0.167939,-1.114504,-3.114504,1,1445405711.765313
-0.079834,0.142578,0.926270,-1.038168,0.320611,-0.564885,1,1445405711.795296
-0.081543,0.140381,0.928223,0.503817,-7.038168,-2.412214,1,1445405711.825469
-0.074219,0.141357,0.922363,-1.709924,-2.427481,-2.916031,1,1445405711.855353
-0.076172,0.139648,0.927246,-0.595420,4.412214,0.030534,1,1445405711.885293
-0.077393,0.142090,0.931396,-0.931298,-4.396946,-4.259542,1,1445405711.915462
-0.076172,0.138672,0.931396,-3.053435,-3.633588,-0.870229,1,1445405711.945319
-0.073975,0.136475,0.924561,-1.282443,-8.122137,-4.030534,1,1445405711.975444
-0.076904,0.143066,0.924561,-4.427481,4.549618,5.419847,1,1445405712.005609
-0.078125,0.139404,0.930908,-0.992366,4.412214,-0.763359,1,1445405712.035337
-0.078369,0.140381,0.928955,-5.450382,-1.496183,-2.458015,1,1445405712.065344
-0.078613,0.137939,0.919189,-2.900763,5.251908,-2.122137,1,1445405712.124986
-0.076172,0.139893,0.926514,-1.786260,-4.030534,-9.389313,1,1445405712.129107
-0.078369,0.138916,0.930176,-0.687023,1.099237,-4.167939,1,1445405712.184910
-0.078369,0.141113,0.925049,-5.267176,-2.977099,0.122137,1,1445405712.189119
-0.073975,0.138428,0.920410,-2.366412,2.687023,2.900763,1,1445405712.215636
-0.075928,0.136719,0.930908,-2.320611,-3.648855,-0.702290,1,1445405712.245377
-0.075928,0.137451,0.930420,-0.687023,0.320611,2.824427,1,1445405712.275483
-0.079102,0.136719,0.924316,-0.259542,2.259542,-3.664122,1,1445405712.305405
-0.077148,0.137695,0.930176,-4.702290,-3.938931,-5.206107,1,1445405712.335389
