,Axis1,Axis2,Axis3
50,1.81640625,1.07543946,1.66503907
51,1.80981446,1.05834961,1.6628418000000003
52,1.81518555,1.0612793,1.68041993
53,1.81762696,1.05664063,1.66430665
54,1.8166504,1.05712891,1.67749024
55,1.81811524,1.06372071,1.66064454
56,1.81494141,1.06445313,-1.77075196
57,1.81030274,1.0546875,1.67309571
58,1.81762696,1.05786133,1.67309571
59,1.81030274,1.0588378999999999,1.67407227
60,-1.76171875,1.05834961,1.67675782
61,1.81640625,1.05810547,1.67480469
62,1.80859375,1.05859375,1.66796875
63,1.83105469,-1.80810547,1.66601563
64,1.82348633,1.08447266,1.66650391
65,1.82348633,1.05566407,1.67358399
66,1.8010254,1.04418946,1.69140625
67,1.80004883,1.0534668,1.67382813
68,1.81494141,1.05493165,-1.7697754
69,-1.7619629,1.05493165,1.67651368
70,1.79248047,1.05957032,1.66918946
71,-1.76269532,1.04833985,1.68408204
72,1.80175782,1.06640625,1.65771485
73,1.78833008,1.06689454,1.65185547
74,-1.76367188,1.05322266,1.65917969
75,1.77001954,1.07470704,1.66308594
76,1.77026368,1.03442383,1.73657227
77,-1.77197266,0.91699219,1.93701172
78,1.48950196,0.96997071,1.8557129
79,1.20166016,1.11840821,1.35717774
80,1.29125977,1.51123047,1.06469727
81,1.53588868,1.30737305,1.16748047
82,1.65112305,1.01831055,1.49194336
83,1.76757813,0.99438477,1.6328125
84,-1.96679688,1.14648438,1.60327149
85,1.98144532,1.05517579,1.45581055
86,-1.90063477,1.06591797,1.52587891
87,-1.99340821,1.09667969,1.6394043000000003
88,-1.96044922,1.06469727,1.59716797
89,-1.98583985,1.13183594,1.62744141
90,-1.75048829,1.99707032,-1.72558594
91,0.02001954,0.01293946,-1.8046875
92,-1.82128907,1.39990235,1.69750977
93,1.59619141,-1.82592774,1.75683594
94,1.78320313,1.13305665,1.66357422
95,1.72070313,1.0678711,-1.77148438
96,-1.76879883,1.0041504,1.69140625
97,-1.76025391,1.08837891,1.67822266
98,1.76928711,1.03564454,1.71435547
99,1.76025391,1.04467774,1.70898438
100,1.81811524,1.06372071,1.66064454
101,1.81494141,1.06445313,-1.77075196
102,1.81030274,1.0546875,1.67309571
103,1.81762696,1.05786133,1.67309571
104,1.81030274,1.0588378999999999,1.67407227
105,-1.76171875,1.05834961,1.67675782
106,1.81640625,1.05810547,1.67480469
107,1.80859375,1.05859375,1.66796875
108,1.83105469,-1.80810547,1.66601563
109,1.82348633,1.08447266,1.66650391
110,1.82348633,1.05566407,1.67358399
111,1.8010254,1.04418946,1.69140625
112,1.80004883,1.0534668,1.67382813
113,1.81494141,1.05493165,-1.7697754
114,-1.7619629,1.05493165,1.67651368
115,1.79248047,1.05957032,1.66918946
116,-1.76269532,1.04833985,1.68408204
117,1.80175782,1.06640625,1.65771485
118,1.78833008,1.06689454,1.65185547
119,-1.76367188,1.05322266,1.65917969
120,1.77001954,1.07470704,1.66308594
121,1.77026368,1.03442383,1.73657227
122,-1.77197266,0.91699219,1.93701172
123,1.48950196,0.96997071,1.8557129
124,1.20166016,1.11840821,1.35717774
125,1.29125977,1.51123047,1.06469727
126,1.53588868,1.30737305,1.16748047
127,1.65112305,1.01831055,1.49194336
128,1.76757813,0.99438477,1.6328125
129,-1.96679688,1.14648438,1.60327149
130,1.98144532,1.05517579,1.45581055
131,-1.90063477,1.06591797,1.52587891
132,-1.99340821,1.09667969,1.6394043000000003
133,-1.96044922,1.06469727,1.59716797
134,-1.98583985,1.13183594,1.62744141
135,-1.75048829,1.99707032,-1.72558594
136,0.02001954,0.01293946,-1.8046875
137,-1.82128907,1.39990235,1.69750977
138,1.59619141,-1.82592774,1.75683594
139,1.78320313,1.13305665,1.66357422
140,1.72070313,1.0678711,-1.77148438
141,-1.76879883,1.0041504,1.69140625
142,-1.76025391,1.08837891,1.67822266
143,1.76928711,1.03564454,1.71435547
144,1.76025391,1.04467774,1.70898438
145,1.7565918000000003,1.06372071,1.69091797
146,1.7541504,1.06835938,1.6994629
147,1.81713868,1.02783204,1.71997071
148,1.79052735,1.06884766,1.74536133
149,1.72338868,1.04345704,1.73876954
150,1.80371094,1.04638672,-1.7697754
151,1.81958008,0.98803711,1.51147461
152,-1.58251954,0.91503907,1.16308594
153,1.96118165,0.34936524,1.60644532
154,1.97338868,1.42553711,1.76171875
155,-1.80737305,0.90991211,-1.79882813
156,1.86401368,0.58203125,-1.91235352
157,1.37329102,0.64428711,-1.8581543000000003
158,1.2644043,0.98144532,1.71728516
159,0.75976563,1.87011719,1.20678711
160,1.00512696,1.57666016,1.42016602
161,1.46704102,1.22143555,1.45483399
162,-1.93066407,-1.8166504,1.81518555
163,-1.5900878999999999,-1.81591797,1.9428710999999999
164,-1.76831055,0.99902344,1.94995118
165,-1.94921875,1.01220704,1.80322266
166,1.89404297,1.18041993,1.69213868
167,-1.62866211,1.56079102,-1.5678711
168,1.32324219,-1.875,-0.70654297
169,-1.96606446,1.59887696,1.2890625
170,1.83129883,1.10742188,1.79638672
171,1.76757813,-1.81054688,-1.76782227
172,1.78637696,-1.80957032,1.71728516
173,1.79345704,1.0432129,1.71582032
174,1.77929688,1.04858399,1.68945313
175,1.74316407,1.0534668,1.72241211
176,-1.76611329,1.03759766,1.72973633
177,1.74829102,1.05297852,1.73144532
178,1.74243165,1.05541993,1.75610352
179,1.74707032,1.05395508,1.72802735
180,1.76220704,1.05371094,1.72045899
181,1.74902344,1.05273438,1.73266602
182,1.75903321,1.04858399,1.74194336
183,1.77197266,1.04858399,1.70019532
184,-1.76391602,1.05175782,1.72143555
185,1.7722168000000003,1.04272461,1.71801758
186,1.78515625,1.0456543,1.71533204
187,1.78686524,1.05712891,1.70703125
188,1.77856446,1.03442383,1.68847657
189,1.80175782,1.08520508,1.67578125
190,1.83642579,1.05297852,1.69067383
191,-1.76708985,1.18725586,1.7319335999999999
192,1.58325196,0.74560547,-1.82641602
193,0.96118165,-1.875,-0.48803711
194,-1.86303711,1.61108399,-1.32226563
195,0.99316407,1.24169922,1.60302735
196,1.84692383,-1.76123047,1.65869141
197,1.89428711,1.15942383,1.96215821
198,1.76416016,0.8322754000000001,-1.74194336
199,1.54394532,0.75390625,-1.96679688
200,1.58325196,0.74560547,-1.82641602
201,0.96118165,-1.875,-0.48803711
202,-1.86303711,1.61108399,-1.32226563
203,0.99316407,1.24169922,1.60302735
204,1.84692383,-1.76123047,1.65869141
205,1.89428711,1.15942383,1.96215821
206,1.76416016,0.8322754000000001,-1.74194336
207,1.54394532,0.75390625,-1.96679688
208,0.91552735,0.97583008,1.31835938
209,1.27856446,1.15136719,1.02490235
210,1.18188477,1.77441407,1.07763672
211,1.14257813,1.60522461,1.06616211
212,0.9519042999999999,-1.77954102,-1.79785157
213,-1.40039063,1.40014649,-0.8256836
214,1.44360352,-1.875,1.73388672
215,1.7109375,1.00122071,-1.76708985
216,1.78808594,1.06542969,1.70483399
217,1.73388672,1.04614258,1.69726563
218,1.72680665,1.06494141,1.70605469
219,1.70581055,1.0600586,1.67163086
220,1.72436524,-1.80615235,1.66894532
221,1.70263672,1.04907227,1.68261719
222,1.71020508,1.07934571,1.68969727
223,1.69921875,1.08251954,1.66259766
224,1.72241211,1.08618165,1.67675782
