Label,Axis1,Axis2,Axis3,time
2,-9.714025,-0.39145198,0.42362407,68630
2,-9.867253,-0.053869538,0.31588498,68630
2,-9.579949,2.0458453,-0.98416656,68631
2,-9.223213,2.1057005,-0.90515786,68631
2,-9.532065,1.0498575,-0.9458593,68631
2,-9.678111,0.6715736,-1.096694,68631
2,-9.74036,0.5470751,-1.0392332,68631
2,-9.714025,0.29328972,-1.33372,68631
2,-9.714025,-0.11133038,-1.132607,68631
2,-9.733178,-0.18076223,-1.3528736,68631
2,-9.060408,0.11133038,-1.1350013,68631
2,-9.706841,0.21906945,-0.6537667,68631
2,-11.758673,-0.15203181,3.282301,68631
2,-8.1961,2.067393,1.9128175,68631
2,-8.914361,0.7433996,1.1921628,68631
2,-9.14181,0.81283146,0.92880064,68631
2,-9.673323,1.210269,0.064493805,68632
2,-9.682899,1.4520833,-0.47420156,68632
2,-9.644592,1.7753005,-0.9506477,68632
2,-9.579949,1.9764135,-1.1661259,68632
2,-9.536854,1.9859903,-1.2475287,68632
2,-9.512912,1.9285295,-1.3600562,68632
2,-9.505729,1.9955671,-1.582717,68632
2,-9.601497,1.827973,-1.4941314,68632
2,-9.450663,1.9907787,-1.45343,68632
2,-9.467422,2.0027497,-1.6066589,68632
2,-9.579949,1.9189527,-1.4462475,68632
2,-9.510517,1.9476831,-1.3313258,68632
2,-9.551219,1.567005,-1.2403461,68632
2,-9.362077,2.3953989,0.13631986,68633
2,-8.710854,0.63087213,2.6502316,68633
2,-12.694805,4.1814733,4.55841,68633
2,-7.736414,2.5510218,-1.2355577,68633
2,-9.32377,1.804031,-3.0838814,68633
2,-12.101044,-0.6428431,-0.550816,68633
2,-10.001328,1.3682863,0.7420529,68633
2,-9.599103,1.2988545,1.0293571,68633
2,-9.745149,1.3922282,0.5840356,68633
2,-9.737967,1.2413936,0.38052842,68633
2,-9.730783,-0.108936176,-0.038456865,68634
2,-9.814581,-0.20949265,-0.06000468,68634
2,-9.723601,0.003591303,-0.06239888,68634
2,-9.850494,0.020350715,-0.16056114,68634
2,-9.862465,-0.034715924,-0.03127426,68634
2,-9.845706,0.037110128,-0.004938041,68634
2,-9.855283,0.08259996,-0.119859725,68634
2,-9.958233,-0.34835634,0.22490533,68634
2,-9.951051,-0.15682021,0.21293432,68634
2,-9.534459,1.0546459,-0.6681319,68634
2,-11.55756,-0.41060558,-0.06718729,68634
2,-17.772907,-9.063251,-0.06718729,68634
2,-11.749096,-2.7665,0.648679,68634
2,-8.552836,2.4073699,1.6159365,68634
2,-8.883237,1.650802,0.4810849,68634
2,-9.625439,1.1767502,0.4954501,68634
2,-9.749937,-1.6101006,-0.27548283,68635
2,-9.936686,-1.2413936,0.14589667,68635
2,-9.599103,-1.5981296,0.7707833,68635
2,-10.827329,-1.2677298,0.84260935,68635
2,-10.063578,0.16400282,-0.18450317,68635
2,-9.886407,-0.59256494,0.23448212,68635
2,-9.5392475,0.01316811,-0.33054948,68635
2,-9.87683,-0.49919105,0.10280103,68635
2,-9.87683,-0.37708676,-0.024091655,68635
2,-9.816976,-0.18076223,0.002244564,68635
2,-9.778668,-0.15682021,-0.014514848,68635
2,-9.646987,0.40581718,-1.5922937,68636
2,-9.556007,0.82480246,-1.9059342,68636
2,-9.481787,1.1623849,-1.8628385,68636
2,-9.618257,0.8559271,-1.8532617,68636
2,-9.6350155,0.59017074,-1.8987516,68636
2,-9.544036,0.50876784,-1.6162357,68636
2,-9.884013,-1.3371617,-0.24435821,68636
2,-9.441086,-7.0904284,1.7619828,68636
2,-8.974216,-0.4249708,11.099369,68636
2,-7.738808,2.7449522,-0.29703066,68636
2,-8.765921,1.4520833,-2.2171805,68636
2,-9.460239,0.48722005,-2.332102,68636
2,-9.752332,-0.90381116,-1.261894,68636
2,-9.783457,-1.2006922,0.10519524,68637
2,-10.073154,-0.94930094,-0.42392334,68637
2,-9.879225,-0.70509243,-0.3544915,68637
2,-9.824158,-0.40102878,-0.4861726,68637
2,-9.718813,0.19991584,-0.775871,68637
2,-9.819369,-0.061052144,-0.9338883,68637
2,-9.797822,0.2813187,-1.4462475,68637
2,-9.666141,0.58538234,-1.5372272,68637
2,-9.548824,0.5686229,-1.3887867,68637
2,-9.498547,1.7753005,-1.5372272,68637
2,-9.417144,1.2126632,-1.33372,68637
2,-9.6350155,0.80325466,-1.7958009,68637
2,-9.931897,1.3275849,-1.8676269,68637
2,-9.615862,-1.3299791,-0.32336688,68638
2,-9.646987,-1.459266,-0.11267712,68638
2,-9.754725,-1.5047557,0.1961749,68638
2,-10.085126,-1.555034,0.035763387,68638
2,-9.534459,-0.94930094,-0.8309376,68638
2,-9.781062,-0.8319851,-0.72319853,68638
2,-8.035689,-1.1384429,0.7444471,68638
2,-10.159346,-5.627571,0.22729953,68638
2,-8.030901,-0.50637364,0.27039516,68638
2,-8.969428,-2.64679,-0.5244798,68638
2,-9.462633,-0.82719666,-1.0799346,68638
2,-9.362077,-1.9021933,0.13392566,68638
2,-9.790639,0.1400608,-0.6465841,68639
2,-9.761909,-0.034715924,-0.5412392,68639
2,-9.589526,-0.32202014,-0.27787703,68639
2,-9.831341,-1.0522517,0.5433341,68639
