,Axis1,Axis2,Axis3
71,1.68701172,0.99243165,1.69873047
72,1.69555665,1.0588379,1.74267579
73,1.70043946,1.07983399,1.7421875
74,1.69604493,1.07519532,1.72802735
75,1.70483399,1.07177735,1.73266602
76,1.70166016,1.0600586,-1.76635743
77,1.70214844,1.07177735,1.73535157
78,1.7006836,1.0678711,1.73779297
79,-1.76782227,1.07153321,1.73803711
80,-1.76855469,1.07177735,1.73583985
81,1.70117188,1.06860352,-1.76611329
82,1.70166016,1.06884766,1.74169922
83,1.69726563,1.07006836,1.74389649
84,1.70556641,1.07055665,1.7385254
85,1.70483399,1.06982422,1.74047852
86,1.69970704,1.06372071,1.74243165
87,1.70092774,1.06591797,1.74365235
88,1.70532227,1.07519532,1.73583985
89,1.69970704,1.07250977,1.75439454
90,1.68603516,1.04882813,1.7253418
91,1.71289063,1.08422852,1.74951172
92,1.71166993,1.07495118,1.74682618
93,1.7253418,1.07763672,1.73095704
94,1.68334961,1.06542969,1.77368165
95,1.71606446,1.05517579,1.71313477
96,1.70410157,1.0510254,1.75903321
97,1.70776368,1.07543946,-1.76635743
98,1.69726563,1.06152344,1.75097657
99,1.69140625,1.02636719,1.74951172
100,1.73901368,1.06762696,1.72778321
101,1.73681641,1.06030274,1.72387696
102,1.7487793,1.05395508,1.71777344
103,1.74511719,1.05786133,1.72338868
104,1.74487305,1.06396485,1.72509766
105,1.66845704,1.07788086,1.73876954
106,1.72827149,0.94482422,1.71362305
107,1.69067383,1.07373047,1.73559571
108,1.68701172,0.99243165,1.69873047
109,1.69555665,1.0588379,1.74267579
110,1.70043946,1.07983399,1.7421875
111,1.69604493,1.07519532,1.72802735
112,1.70483399,1.07177735,1.73266602
113,1.70166016,1.0600586,-1.76635743
114,1.70214844,1.07177735,1.73535157
115,1.7006836,1.0678711,1.73779297
116,-1.76782227,1.07153321,1.73803711
117,-1.76855469,1.07177735,1.73583985
118,1.70117188,1.06860352,-1.76611329
119,1.70166016,1.06884766,1.74169922
120,1.69726563,1.07006836,1.74389649
121,1.70556641,1.07055665,1.7385254
122,1.70483399,1.06982422,1.74047852
123,1.69970704,1.06372071,1.74243165
124,1.70092774,1.06591797,1.74365235
125,1.70532227,1.07519532,1.73583985
126,1.69970704,1.07250977,1.75439454
127,1.68603516,1.04882813,1.7253418
128,1.71289063,1.08422852,1.74951172
129,1.71166993,1.07495118,1.74682618
130,1.7253418,1.07763672,1.73095704
131,1.68334961,1.06542969,1.77368165
132,1.71606446,1.05517579,1.71313477
133,1.70410157,1.0510254,1.75903321
134,1.70776368,1.07543946,-1.76635743
135,1.69726563,1.06152344,1.75097657
136,1.69140625,1.02636719,1.74951172
137,1.6850586,1.07714844,1.7475586
138,-1.76904297,1.06567383,1.76733399
139,1.58935547,0.98217774,1.73168946
140,1.5510254,1.15405274,1.77954102
141,-1.79711915,0.1850586,1.58618165
142,-1.7854004,1.48657227,1.69677735
143,1.44482422,1.03564454,1.71655274
144,1.75634766,1.64550782,-1.77709961
145,1.7397461,1.26513672,-1.7722168
146,1.7944336,1.10302735,-1.78295899
147,-6.104e-05,-6.104e-05,1.32592774
148,-1.875,0.9650879,1.55078125
149,1.10131836,-1.77026368,1.81689454
150,1.68286133,0.78686524,1.45678711
151,1.6525879,0.97729493,1.75366211
152,1.68164063,1.05957032,1.77270508
153,1.71411133,1.07373047,1.73168946
154,1.6953125,1.05517579,1.76489258
155,1.70800782,1.07763672,1.7385254
156,1.69848633,1.06152344,1.76855469
157,1.70654297,1.07104493,1.76660157
158,1.68554688,1.01025391,1.8166504
159,1.81079102,1.08618165,1.74731446
160,1.70166016,1.05688477,1.76074219
161,1.6994629,1.07104493,1.75927735
162,1.69580079,1.05664063,1.76293946
163,1.69824219,1.06567383,1.76660157
