Label,Axis1,Axis2,Axis3,time
3,10.919805,-0.7956231,-1.8351556,63466
3,1.51538,-2.51466,-2.1392193,63466
3,9.430611,-1.2529156,-2.1511903,63466
3,8.793754,2.7525837,-6.6163764,63466
3,7.237522,-2.0884922,-0.7553706,63466
3,14.920515,-1.2265794,-1.4999673,63466
3,5.4993315,1.366341,-5.033809,63466
3,-1.6856676,1.4692917,-15.518019,63466
3,10.03395,-0.54662615,-0.91817635,63466
3,4.69488,-2.2465093,-1.7274165,63466
3,9.5191965,-2.3374891,-1.8016368,63466
3,12.7753105,19.519178,-10.332177,63466
3,8.14253,-1.5809213,-1.2773066,63466
3,6.3540616,-3.4436102,-1.0043676,63466
3,10.2278805,-0.75252753,-1.4449008,63466
3,1.290325,-4.7388735,1.8543092,63466
3,19.718496,-0.4340987,-1.0618285,63466
3,10.213515,-0.8602666,-2.1703439,63466
3,9.447371,-1.2026374,-0.6452374,63466
3,9.564686,-2.9456162,-4.1718965,63466
3,13.941287,-1.7892169,-1.4999673,63466
3,14.963611,-4.951957,-0.32920274,63466
3,12.993183,-0.93448687,-2.0841527,63466
3,8.21675,-2.9743466,2.0913353,63466
3,13.024307,-3.8985085,-2.919729,63466
3,6.047604,-3.0653265,2.160767,63466
3,10.81446,-0.66154784,-2.2828712,63466
3,9.425822,-0.92730427,-1.5286977,63466
3,8.374768,-3.0102596,0.7649474,63466
3,4.4554596,-3.558532,2.517503,63466
3,10.891074,-0.8842086,-2.6180596,63466
3,3.9478889,-5.8210526,0.3866636,63466
3,14.0969095,-1.8227357,-0.47764325,63467
3,8.379557,0.4110545,-1.9740193,63467
3,15.480759,-4.4802995,1.1073183,63467
3,10.680384,-0.4724059,-0.79128367,63467
3,14.434492,-2.991106,-1.9500773,63467
3,19.718496,13.763517,5.6563015,63467
3,10.400263,-1.2193968,-0.94451255,63467
3,12.58138,-0.40297407,0.16160862,63467
3,12.255769,19.519178,-11.129447,63467
3,9.950152,-1.49473,-1.1360487,63467
3,19.718496,1.5387235,-3.7936125,63467
3,10.041132,-1.3510779,-0.8583213,63467
3,10.175207,-3.0198364,0.17836803,63467
3,9.332449,-2.323124,-1.1384429,63467
3,4.414758,-2.430863,0.60214174,63467
3,10.146477,0.063895255,-0.78888947,63467
3,9.346814,-1.8394951,-0.8655039,63467
3,10.29013,-2.991106,-0.4417302,63467
3,9.945364,-0.38860887,-0.5494693,63467
3,9.82326,-1.3223475,-0.6739678,63467
3,4.208857,-1.042226,3.4608185,63467
3,14.932487,1.5866076,-6.1303535,63467
3,12.7513685,-1.8011879,-2.134431,63467
3,14.549414,-5.983858,-0.5542577,63467
3,19.718496,5.168333,7.1885905,63467
3,10.321254,-1.6886604,-0.59256494,63467
3,11.472865,-2.4260745,-0.8583213,63467
3,12.449699,-1.9137154,-2.3953989,63467
3,19.718496,8.268825,-8.431181,63467
3,10.005219,-0.8339304,-1.3347675,63467
3,15.193455,0.16924013,1.2246342,63467
3,11.211897,-3.7117608,-0.05626374,63467
3,10.110564,-0.900968,-1.1097125,63467
3,3.8497267,-5.655853,1.5286977,63467
