Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.089600,0.085693,0.870361,-2.732824,-1.251908,0.412214,0,1445407401.302711
-0.416748,-0.466553,0.780518,27.664122,40.824429,34.900764,0,1445407401.782090
-0.273438,-0.572266,0.704590,-7.572519,52.381680,43.603054,0,1445407401.816399
0.821533,-0.477295,3.999878,81.435112,-30.320610,10.946565,0,1445407401.842729
-0.046143,0.049561,0.809082,34.580154,13.236641,-1.511450,0,1445407401.901916
0.197021,0.058105,0.901611,1.297710,4.519084,-43.603054,0,1445407401.906544
0.117432,0.079346,0.897217,-12.305344,15.877863,10.931297,0,1445407401.932736
0.006104,0.079346,0.853027,-20.427481,20.473282,-7.465649,0,1445407401.962698
0.091553,0.064941,0.890625,-8.290076,19.389313,-2.931298,0,1445407401.991811
0.090088,0.062256,0.895020,-8.900764,-1.251908,-17.465649,0,1445407402.023526
0.089844,0.066406,0.878662,-2.061069,2.076336,-7.374046,0,1445407402.052653
0.086914,0.062256,0.878906,-2.946565,-1.541985,6.366412,0,1445407402.082726
0.082520,0.004395,0.055420,7.770992,18.412214,3.847328,0,1445407402.112866
0.083252,0.060791,0.891113,-2.366412,9.114504,-13.511451,0,1445407402.142722
0.080322,0.005127,0.881592,1.633588,5.694656,7.099236,0,1445407402.202713
0.077148,0.005127,0.882812,3.832061,11.175572,-1.969466,0,1445407402.232773
0.079346,0.064453,0.054932,-0.748092,-3.206107,-2.091603,0,1445407402.262667
0.083252,0.005615,0.871826,3.725191,-0.763359,4.335878,0,1445407402.292719
0.081543,0.064941,0.880127,0.442748,1.007634,3.511450,0,1445407402.352161
0.079346,0.005371,0.873779,1.832061,6.671756,8.213740,0,1445407402.357212
0.081055,0.061035,0.881104,-3.496183,31.175573,0.290076,0,1445407402.382733
0.080566,0.064941,0.869385,-0.274809,8.916031,7.725191,0,1445407402.442129
0.079346,0.060791,0.881104,-4.427481,0.320611,-20.213741,0,1445407402.446226
0.072754,0.058838,0.871826,-6.610687,7.358778,-5.954198,0,1445407402.502219
0.075439,0.052979,0.891846,-9.496183,5.114504,3.007634,0,1445407402.506728
0.072510,0.049805,0.882568,-13.984733,22.916031,12.961832,0,1445407402.531768
0.076416,0.040039,0.901367,-11.572519,10.396947,-12.610687,0,1445407402.562768
0.003906,0.061279,0.905518,29.862595,28.488550,-113.709923,0,1445407402.592749
0.050049,0.005127,0.968018,-24.213741,24.870230,-44.656490,0,1445407402.622874
0.035400,0.009033,0.975342,0.641221,-50.977100,30.580153,0,1445407402.653442
0.047363,-0.033936,0.044434,2.503817,93.969467,-4.000000,0,1445407402.713243
0.145508,0.486084,0.751953,-64.030533,-106.748093,28.916031,0,1445407402.742766
2.978760,-0.444336,2.683350,-87.618324,11.374045,201.847336,0,1445407402.802152
2.305664,2.386719,0.763916,6.259542,250.129776,-39.603054,0,1445407402.806739
1.181641,-0.653809,-0.611084,44.519085,50.320610,-13.038168,0,1445407402.832758
0.821045,0.009766,-0.190430,52.534351,15.633588,72.931297,0,1445407402.862810
0.802246,0.190918,1.186279,57.725189,15.633588,21.694656,0,1445407402.892777
0.235840,-0.389893,2.040283,-7.923664,20.183207,-13.099236,0,1445407402.923529
0.082031,0.233643,2.853271,-109.832062,-47.541985,-41.526718,0,1445407402.952664
-0.577393,-0.543213,0.880127,-73.725189,-28.946566,-136.290070,0,1445407402.982864
-0.776123,0.479736,0.082031,15.160305,-117.618324,-156.961838,0,1445407403.012834
-1.265381,-0.379639,1.254150,20.656488,-54.870228,-114.488548,0,1445407403.072464
-1.389648,-0.269775,0.898682,8.977099,43.969467,-31.480917,0,1445407403.076645
-0.931396,-0.189941,0.694824,14.137404,70.488548,4.519084,0,1445407403.102730
-0.428223,-0.295898,0.826660,23.648855,3.160305,0.748092,0,1445407403.133180
1.166992,-0.144775,0.663818,2.534351,74.106873,-33.251907,0,1445407403.192234
0.026855,-0.097412,-0.162109,49.206108,154.335876,-44.076336,0,1445407403.196719
0.124756,0.238037,1.084473,16.427481,39.938931,49.725189,0,1445407403.222955
0.137695,0.050293,0.867432,27.206106,11.969465,-13.129771,0,1445407403.252823
0.075195,0.152100,0.858887,0.793893,7.664122,0.763359,0,1445407403.282796
0.007080,0.095947,0.868896,-12.992367,14.396947,1.770992,0,1445407403.312875
0.089600,0.088867,0.899414,-2.305344,8.641221,-6.931298,0,1445407403.342831
0.087891,0.085205,0.869141,-14.671756,8.824428,26.381680,0,1445407403.372964
0.083252,0.082520,0.054688,-6.412214,8.427481,29.007633,0,1445407403.402863
0.074219,0.078857,0.870850,-5.938931,1.694656,-27.175573,0,1445407403.432865
0.072510,0.073730,0.874023,-7.374046,38.381680,1.404580,0,1445407403.462909
0.065674,0.068604,0.871826,-10.473283,0.152672,-5.038168,0,1445407403.492841
0.066162,0.062012,0.883301,-13.160305,4.427481,1.496183,0,1445407403.522924
0.059814,0.053711,0.886230,-13.480916,13.908397,3.801527,0,1445407403.582200
0.053467,0.045898,0.888916,-10.854961,0.900763,-9.022901,0,1445407403.586435
0.043945,0.038086,0.885498,-3.923664,17.343512,8.809160,0,1445407403.612856
0.037598,0.035889,0.882812,-2.167939,12.839695,-6.030534,0,1445407403.642889
0.034180,0.037842,0.890869,0.427481,7.175572,15.068703,0,1445407403.702827
0.031006,0.037842,0.879150,6.106870,2.274809,20.335878,0,1445407403.732838
0.003174,0.040039,0.881104,14.519084,6.473282,29.954199,0,1445407403.792286
0.027588,0.042236,0.887939,10.061069,0.641221,9.938931,0,1445407403.796550
0.020020,0.060547,0.897461,24.229008,15.984733,-38.244274,0,1445407403.822996
0.007568,0.072754,0.900146,30.702290,26.076336,7.480916,0,1445407403.852773
-0.015625,0.075195,0.888184,39.511452,8.839695,4.900764,0,1445407403.882936
0.013916,0.142090,0.893066,1.618321,30.625954,-3.389313,0,1445407403.912828
0.016113,0.113037,0.880859,-16.091602,-36.396946,10.290076,0,1445407403.973081
0.012939,0.133301,0.931396,-25.068703,-32.870228,37.770992,0,1445407403.976937
0.002441,0.003418,0.914551,-40.213741,77.038170,4.763359,0,1445407404.002851
0.018066,0.075195,0.766113,13.343512,30.137405,9.251908,0,1445407404.032845
-0.022949,-0.119385,0.861084,30.641222,-53.908398,25.160305,0,1445407404.062880
0.028076,-0.977295,2.581299,-30.885496,15.083969,77.450378,0,1445407404.092915
1.557861,0.495117,3.806152,-90.625954,250.129776,112.015266,0,1445407404.123062
1.570312,-0.589600,1.753174,-78.229004,250.129776,90.687019,0,1445407404.183296
1.793457,0.013672,3.478516,30.595419,250.129776,250.129776,0,1445407404.212868
-0.036377,1.675781,0.869385,33.709923,-10.931297,86.549622,0,1445407404.242852
0.410889,-0.042480,2.669189,53.435116,15.633588,-13.358779,0,1445407404.273047
0.911377,-0.231445,0.920166,62.015266,15.633588,9.603053,0,1445407404.302940
0.763916,0.293213,1.164062,-55.435116,-192.000000,1.374046,0,1445407404.362319
0.597900,0.453857,0.745117,-58.122139,-207.267181,18.030535,0,1445407404.366560
0.562012,0.259521,0.774414,-38.763359,15.633588,45.374046,0,1445407404.422754
0.047363,0.423340,1.309814,-23.328245,15.633588,36.030533,0,1445407404.426752
0.796631,0.373779,1.893311,-31.022902,15.633588,11.587787,0,1445407404.482322
0.398193,3.826660,3.999878,-118.045799,-57.389313,15.755725,0,1445407404.486503
-1.660645,0.137207,1.104248,248.992371,-189.068695,22.717558,0,1445407404.512939
-1.483154,0.086670,-1.618408,-75.328247,15.633588,-101.770996,0,1445407404.542960
-3.778320,1.530273,3.980469,49.938931,-20.137405,67.969467,0,1445407404.572947
-3.527100,0.773682,0.768311,248.778625,138.320618,-34.824429,0,1445407404.603096
0.265869,0.696777,1.142822,81.251907,28.305344,26.580153,0,1445407404.634173
-0.060303,0.111816,0.934082,22.167938,4.885496,-40.793892,0,1445407404.662854
0.071533,0.044922,0.918213,-25.007633,16.870230,19.786259,0,1445407404.692954
0.086426,0.023193,0.878662,-21.694656,14.427481,8.000000,0,1445407404.722939
0.070557,0.022949,0.880859,5.053435,12.839695,6.610687,0,1445407404.752853
0.072266,0.033447,0.880859,6.732824,3.633588,-8.259542,0,1445407404.782885
0.061523,0.035156,0.888672,-4.427481,8.641221,-15.877863,0,1445407404.812921
