Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.128418,0.109131,0.861084,4.870229,4.610687,-12.961832,0,1445409697.547780
0.124512,0.121094,0.879395,8.748092,12.045801,1.282443,0,1445409697.577739
0.118896,0.009033,0.872070,-0.167939,15.374045,19.297710,0,1445409697.607810
0.118408,0.128418,0.870361,2.580153,-5.740458,10.244275,0,1445409697.667843
0.115234,0.129639,0.871582,-1.328244,12.259542,31.083969,0,1445409697.697791
0.112793,0.124023,0.868164,-3.419847,4.702290,2.320611,0,1445409697.727858
0.106201,0.120850,0.867676,-1.984733,7.725191,3.374046,0,1445409697.757870
0.104248,0.119629,0.864258,-1.725191,0.778626,-6.305344,0,1445409697.787918
0.101318,0.119873,0.867676,4.244275,10.396947,-16.442749,0,1445409697.817832
0.006104,0.121826,0.868408,3.267176,6.488550,3.709924,0,1445409697.847857
0.006348,0.009033,0.866211,4.793893,4.213740,-11.297709,0,1445409697.877835
0.007080,0.009277,0.865967,-0.809160,4.610687,-1.068702,0,1445409697.907860
0.088867,0.122070,0.840820,2.641221,10.778625,-1.725191,0,1445409697.938405
0.085205,0.128174,0.873291,-0.656489,8.641221,2.167939,0,1445409697.967844
0.083252,0.123291,0.873047,-8.366412,4.977099,0.335878,0,1445409697.997848
0.073730,0.127441,0.871826,-4.931298,2.458015,15.923664,0,1445409698.027824
0.070312,0.117188,0.877930,0.213740,6.870229,9.954199,0,1445409698.057912
0.072021,0.115967,0.869385,30.854961,0.473282,-7.343512,0,1445409698.087848
0.102051,0.145264,0.956055,-9.786260,10.488549,-10.213740,0,1445409698.117943
0.070557,0.093506,0.056885,0.900763,37.007633,1.068702,0,1445409698.148016
0.046631,0.099121,0.798584,10.916031,-14.458015,-0.870229,0,1445409698.177886
0.081299,0.124268,0.940186,15.893129,-26.809160,0.732824,0,1445409698.207947
0.161865,0.108154,1.249512,2.534351,29.007633,14.732824,0,1445409698.267257
2.624512,-1.209473,3.999878,-13.297709,52.198475,134.091599,0,1445409698.271557
2.262695,0.236816,0.740234,-89.557251,250.129776,136.305344,0,1445409698.297918
1.677246,0.483154,-2.639404,31.190840,250.129776,118.427483,0,1445409698.327766
1.040771,-0.338623,-1.673828,8.687023,-139.160309,-9.190840,0,1445409698.358214
1.218018,-0.505127,-0.080566,11.022901,15.633588,-11.022901,0,1445409698.387859
1.424561,0.264404,1.673096,15.038168,15.633588,21.282442,0,1445409698.417854
0.044922,0.492432,1.629883,-14.396947,-137.786255,32.519085,0,1445409698.447912
0.032471,0.559082,0.861816,-16.625954,-30.137405,23.618320,0,1445409698.477875
0.462402,0.435791,0.021729,-19.099237,-93.343513,9.450381,0,1445409698.507875
0.692383,0.332520,0.472900,-6.122138,-221.053436,-5.099236,0,1445409698.537939
0.249268,2.254639,3.999878,250.129776,250.129776,15.633588,0,1445409698.567950
0.442871,-0.392578,-0.075439,-171.587784,104.305344,-106.381676,0,1445409698.597858
-1.850830,1.280518,3.999878,114.595421,-134.717560,27.633587,0,1445409698.657954
-1.178711,-1.910156,3.999878,169.893127,-32.167938,-248.824432,0,1445409698.687913
-2.348633,0.523193,3.999878,-100.015266,67.679390,-8.076336,0,1445409698.717838
-2.144287,0.393555,0.376953,-73.664124,-56.061069,-42.793892,0,1445409698.747878
-0.271729,0.119873,1.124023,60.381680,-62.610687,-6.320611,0,1445409698.807203
0.148926,0.163818,1.007568,-12.076336,30.625954,-18.106871,0,1445409698.811575
0.111572,0.130371,0.948486,5.114504,3.435115,-65.114502,0,1445409698.837916
0.009033,0.139648,0.843506,-5.984733,15.389313,11.053435,0,1445409698.867949
0.119385,0.126953,0.858887,-15.251908,10.198473,-2.290076,0,1445409698.897852
0.112549,0.112793,0.878174,-4.519084,14.610687,-11.603053,0,1445409698.927874
