Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.101318,0.163330,0.868896,0.122137,-0.763359,-1.770992,0,1445409206.060360
0.095703,0.167969,0.862549,-0.916031,0.473282,0.167939,0,1445409206.115196
0.104004,0.170654,0.863770,0.152672,2.167939,0.519084,0,1445409206.133060
0.098145,0.167725,0.869629,-0.580153,0.290076,6.213740,0,1445409206.149491
0.098145,0.169678,0.861572,0.732824,1.175573,6.229008,0,1445409206.180511
0.098389,0.164307,0.869141,-1.480916,2.748092,-3.725191,0,1445409206.209484
0.096436,0.162598,0.860352,-0.717557,-1.175573,-5.175572,0,1445409206.239481
0.096680,0.167480,0.861572,1.755725,1.679389,-4.305344,0,1445409206.269491
0.098877,0.167969,0.866943,0.290076,2.442748,5.679389,0,1445409206.328880
0.102295,0.165283,0.864746,3.633588,2.946565,1.832061,0,1445409206.333173
0.097656,0.167480,0.863770,31.190840,0.244275,0.183206,0,1445409206.359429
0.101318,0.171143,0.871338,-1.404580,0.229008,-0.610687,0,1445409206.389557
0.100098,0.171875,0.871338,-0.473282,7.145038,-6.977099,0,1445409206.419436
0.099365,0.166504,0.860107,-0.030534,2.244275,-4.000000,0,1445409206.449361
0.102539,0.166016,0.863770,-1.801527,0.793893,6.137404,0,1445409206.479812
0.099609,0.169922,0.863525,1.343511,5.480916,8.534351,0,1445409206.509443
0.098877,0.165039,0.866943,2.458015,1.480916,-5.343512,0,1445409206.539490
0.099121,0.170410,0.862793,3.770992,31.236641,-3.389313,0,1445409206.599383
0.097412,0.166016,0.860107,0.473282,1.190840,-2.610687,0,1445409206.659204
0.097656,0.166504,0.864014,2.290076,0.595420,2.992366,0,1445409206.663778
0.099854,0.168945,0.861572,-3.389313,-2.442748,7.648855,0,1445409206.718989
0.099609,0.165039,0.860352,1.160305,1.480916,4.396946,0,1445409206.723835
0.104004,0.170166,0.869385,-1.618321,3.526718,6.396946,0,1445409206.749585
0.100830,0.162598,0.866455,-1.679389,4.320611,2.137405,0,1445409206.779824
0.101562,0.167969,0.867432,1.679389,7.160306,9.145039,0,1445409206.809488
0.103027,0.166260,0.866943,1.648855,0.488550,8.396947,0,1445409206.839431
0.099121,0.167236,0.864990,-0.076336,31.129770,2.290076,0,1445409206.869395
0.100342,0.162842,0.869629,-3.572519,5.480916,2.656489,0,1445409206.899428
0.100586,0.163818,0.867432,0.824427,0.015267,0.977099,0,1445409206.929285
0.099854,0.167969,0.863770,-2.625954,2.656489,0.473282,0,1445409206.959442
0.100830,0.165039,0.867432,-0.900763,-1.175573,0.259542,0,1445409206.989424
0.102051,0.166016,0.866943,-1.450382,4.412214,4.549618,0,1445409207.019429
0.099121,0.166504,0.867676,-1.374046,4.900764,-7.557252,0,1445409207.049463
0.100586,0.159424,0.867676,-0.106870,-3.312977,-0.717557,0,1445409207.109732
0.098877,0.162842,0.862305,31.251909,5.480916,4.595420,0,1445409207.139535
0.097412,0.163330,0.054932,-1.832061,3.435115,3.022901,0,1445409207.169479
0.096680,0.164062,0.857178,-5.312977,31.160305,3.801527,0,1445409207.199421
0.097412,0.147949,0.899170,-4.000000,-8.305344,-0.076336,0,1445409207.229270
0.096680,0.153320,0.876953,-10.000000,2.946565,4.610687,0,1445409207.289491
0.056885,0.151123,0.903320,-1.160305,-8.595420,5.832061,0,1445409207.292767
-0.087646,0.155029,1.016602,45.358780,-28.381680,13.038168,0,1445409207.319402
-0.104492,0.155029,0.950439,15.618320,-36.503819,32.076336,0,1445409207.349487
-0.016602,0.165771,0.850586,23.435114,-26.625954,37.038166,0,1445409207.379449
0.041260,0.196777,0.918701,-11.038168,-14.076336,16.503817,0,1445409207.409446
0.077393,0.209229,0.903076,-8.366412,21.251909,23.038168,0,1445409207.439667
0.040771,0.009033,0.777588,-15.419847,14.290076,20.717558,0,1445409207.469575
0.069092,0.134521,0.831543,-10.015267,10.473283,30.458015,0,1445409207.499361
0.040527,0.184814,0.820801,-4.900764,5.679389,31.221375,0,1445409207.529294
