Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.477051,1.830078,3.999878,15.633588,2.564885,0.458015,0,1445409483.606103
0.024658,-0.001221,1.168457,70.305344,-2.656489,-20.213741,0,1445409483.784795
0.078125,0.161377,0.886963,20.885496,31.251909,-9.007633,0,1445409483.789842
0.088623,0.166748,0.847412,4.320611,0.687023,31.022902,0,1445409483.815454
0.084961,0.159424,0.855957,3.832061,-2.427481,1.740458,0,1445409483.874785
0.084473,0.010986,0.878174,8.824428,4.900764,17.862595,0,1445409483.879352
0.006836,0.164551,0.858887,24.122137,-11.847328,-244.580154,0,1445409483.905567
0.086426,0.173584,0.864014,4.549618,-5.282443,-32.717556,0,1445409483.935431
-0.397217,-0.277588,3.999878,250.129776,168.000000,108.564888,0,1445409484.775497
1.303955,-0.190430,1.641846,-108.748093,118.961830,103.022903,0,1445409484.805593
0.728516,-0.711182,3.999878,18.564886,76.854965,166.534348,0,1445409484.835466
0.047852,0.160400,0.872559,1.587786,12.519084,4.885496,0,1445409485.495509
0.039551,0.155762,0.882080,7.984733,21.053434,-9.068703,0,1445409485.525506
-3.634521,-0.273193,-1.129639,1.770992,5.038168,15.816793,0,1445409487.655868
-0.055908,0.270996,0.877197,40.961834,34.381680,-16.045801,0,1445409487.715294
0.001953,0.184814,0.986084,64.290077,25.954199,1.603053,0,1445409487.719391
0.097168,0.166260,0.828369,0.290076,11.267176,-1.755725,0,1445409487.745554
0.089355,0.161621,0.851318,0.641221,14.198473,4.748092,0,1445409487.775567
0.076904,0.159424,0.864014,0.213740,7.740458,4.244275,0,1445409487.805672
0.080811,0.156006,0.856445,0.671756,15.358779,9.083969,0,1445409487.835982
0.079834,0.162109,0.856934,0.320611,5.297710,-5.053435,0,1445409487.865677
0.075684,0.162842,0.858887,-0.412214,11.557252,17.053434,0,1445409487.895600
0.070801,0.158691,0.863037,-5.725191,8.519084,0.519084,0,1445409487.925649
0.071777,0.153076,0.862305,-2.427481,8.519084,-3.633588,0,1445409487.955775
0.065918,0.010986,0.869629,31.236641,10.274809,1.694656,0,1445409487.985663
0.058594,0.154053,0.860596,-6.839694,10.381680,0.870229,0,1445409488.045275
0.056885,0.148926,0.054688,-1.435115,7.343512,-4.824428,0,1445409488.049404
0.055176,0.152344,0.869385,0.458015,0.396947,2.183206,0,1445409488.075557
0.051270,0.150146,0.866455,-3.328244,13.206107,-7.648855,0,1445409488.105930
0.036377,0.162109,0.866699,4.091603,31.007633,9.694656,0,1445409488.135645
0.023682,0.150391,0.863525,-9.328244,11.648855,23.755726,0,1445409488.165626
0.029297,0.142334,0.865479,-12.916031,11.938931,-4.931298,0,1445409488.195618
0.040527,0.165283,0.792725,-21.358778,-14.961832,13.038168,0,1445409488.225674
0.104004,0.210938,1.387939,-7.893130,41.312977,-3.572519,0,1445409488.255900
0.022217,0.104492,0.787842,6.106870,30.931297,7.496183,0,1445409488.285684
0.018066,0.114990,0.869629,12.809160,29.877863,4.702290,0,1445409488.315695
0.030029,0.176270,0.830078,23.282442,1.282443,-12.259542,0,1445409488.345568
0.017090,0.142090,0.700439,3.145038,28.870230,5.557252,0,1445409488.375624
0.386475,-0.269531,3.308350,-36.412212,-198.732819,74.442749,0,1445409488.405773
3.999878,-0.974365,3.431396,24.488550,250.129776,103.236641,0,1445409488.435695
2.235596,-0.359131,-1.305664,16.320610,250.129776,-65.145035,0,1445409488.465851
0.720947,1.073975,-2.523682,-166.213745,112.641220,-177.114502,0,1445409488.495674
1.057373,0.002930,-0.669678,-54.183205,15.633588,-11.083969,0,1445409488.525637
1.401367,0.019043,0.042969,76.503815,15.633588,73.526718,0,1445409488.555806
